rank,persona,topic,build_now_score,readiness_band,completeness_score,story_blocks,scene_blocks,locale_overlay_count,sparse_unit_count,why_now
1,gen_alpha_students,anxiety,451,build_now,381,20,30,37,0,score 451; story depth 20; scene depth 30; locale overlays 37; no flagged sparse units
2,gen_z_professionals,anxiety,301,build_now,229,43,82,33,1,score 301; story depth 43; scene depth 82; locale overlays 33
3,gen_z_professionals,burnout,261,build_now,191,20,30,33,0,score 261; story depth 20; scene depth 30; locale overlays 33; no flagged sparse units
4,gen_z_professionals,financial_anxiety,261,build_now,191,20,30,33,0,score 261; story depth 20; scene depth 30; locale overlays 33; no flagged sparse units
5,gen_z_professionals,imposter_syndrome,261,build_now,191,20,30,33,0,score 261; story depth 20; scene depth 30; locale overlays 33; no flagged sparse units
6,corporate_managers,burnout,251,build_now,181,20,30,27,0,score 251; story depth 20; scene depth 30; locale overlays 27; no flagged sparse units
7,corporate_managers,financial_anxiety,251,build_now,181,20,30,22,0,score 251; story depth 20; scene depth 30; locale overlays 22; no flagged sparse units
8,corporate_managers,imposter_syndrome,251,build_now,181,20,30,22,0,score 251; story depth 20; scene depth 30; locale overlays 22; no flagged sparse units
9,corporate_managers,social_anxiety,251,build_now,181,20,30,22,0,score 251; story depth 20; scene depth 30; locale overlays 22; no flagged sparse units
10,corporate_managers,somatic_healing,251,build_now,181,20,30,22,0,score 251; story depth 20; scene depth 30; locale overlays 22; no flagged sparse units
11,educators,anxiety,251,build_now,181,20,30,42,0,score 251; story depth 20; scene depth 30; locale overlays 42; no flagged sparse units
12,gen_alpha_students,boundaries,251,build_now,181,20,30,37,0,score 251; story depth 20; scene depth 30; locale overlays 37; no flagged sparse units
13,gen_alpha_students,burnout,251,build_now,181,20,30,37,0,score 251; story depth 20; scene depth 30; locale overlays 37; no flagged sparse units
14,gen_alpha_students,compassion_fatigue,251,build_now,181,20,30,37,0,score 251; story depth 20; scene depth 30; locale overlays 37; no flagged sparse units
15,gen_alpha_students,courage,251,build_now,181,20,30,37,0,score 251; story depth 20; scene depth 30; locale overlays 37; no flagged sparse units
16,gen_alpha_students,depression,251,build_now,181,20,30,37,0,score 251; story depth 20; scene depth 30; locale overlays 37; no flagged sparse units
17,gen_alpha_students,financial_anxiety,251,build_now,181,20,30,37,0,score 251; story depth 20; scene depth 30; locale overlays 37; no flagged sparse units
18,gen_alpha_students,financial_stress,251,build_now,181,20,30,37,0,score 251; story depth 20; scene depth 30; locale overlays 37; no flagged sparse units
19,gen_alpha_students,grief,251,build_now,181,20,30,37,0,score 251; story depth 20; scene depth 30; locale overlays 37; no flagged sparse units
20,gen_x_sandwich,anxiety,251,build_now,181,20,30,22,0,score 251; story depth 20; scene depth 30; locale overlays 22; no flagged sparse units
21,gen_x_sandwich,boundaries,251,build_now,181,20,30,22,0,score 251; story depth 20; scene depth 30; locale overlays 22; no flagged sparse units
22,gen_x_sandwich,burnout,251,build_now,181,20,30,22,0,score 251; story depth 20; scene depth 30; locale overlays 22; no flagged sparse units
23,gen_x_sandwich,compassion_fatigue,251,build_now,181,20,30,22,0,score 251; story depth 20; scene depth 30; locale overlays 22; no flagged sparse units
24,gen_x_sandwich,courage,251,build_now,181,20,30,22,0,score 251; story depth 20; scene depth 30; locale overlays 22; no flagged sparse units
25,gen_x_sandwich,depression,251,build_now,181,20,30,22,0,score 251; story depth 20; scene depth 30; locale overlays 22; no flagged sparse units
26,gen_x_sandwich,financial_anxiety,251,build_now,181,20,30,22,0,score 251; story depth 20; scene depth 30; locale overlays 22; no flagged sparse units
27,gen_x_sandwich,financial_stress,251,build_now,181,20,30,22,0,score 251; story depth 20; scene depth 30; locale overlays 22; no flagged sparse units
28,gen_x_sandwich,grief,251,build_now,181,20,30,22,0,score 251; story depth 20; scene depth 30; locale overlays 22; no flagged sparse units
29,gen_z_professionals,boundaries,251,build_now,181,20,30,32,0,score 251; story depth 20; scene depth 30; locale overlays 32; no flagged sparse units
30,gen_z_professionals,compassion_fatigue,251,build_now,181,20,30,32,0,score 251; story depth 20; scene depth 30; locale overlays 32; no flagged sparse units
31,gen_z_professionals,courage,251,build_now,181,20,30,32,0,score 251; story depth 20; scene depth 30; locale overlays 32; no flagged sparse units
32,gen_z_professionals,depression,251,build_now,181,20,30,32,0,score 251; story depth 20; scene depth 30; locale overlays 32; no flagged sparse units
33,gen_z_professionals,financial_stress,251,build_now,181,20,30,32,0,score 251; story depth 20; scene depth 30; locale overlays 32; no flagged sparse units
34,nyc_executives,anxiety,251,build_now,181,20,30,38,0,score 251; story depth 20; scene depth 30; locale overlays 38; no flagged sparse units
35,tech_finance_burnout,burnout,251,build_now,181,20,30,45,0,score 251; story depth 20; scene depth 30; locale overlays 45; no flagged sparse units
36,tech_finance_burnout,financial_anxiety,251,build_now,181,20,30,46,0,score 251; story depth 20; scene depth 30; locale overlays 46; no flagged sparse units
37,tech_finance_burnout,imposter_syndrome,251,build_now,181,20,30,46,0,score 251; story depth 20; scene depth 30; locale overlays 46; no flagged sparse units
38,tech_finance_burnout,overthinking,251,build_now,181,20,30,46,0,score 251; story depth 20; scene depth 30; locale overlays 46; no flagged sparse units
39,tech_finance_burnout,sleep_anxiety,251,build_now,181,20,30,46,0,score 251; story depth 20; scene depth 30; locale overlays 46; no flagged sparse units
40,tech_finance_burnout,social_anxiety,251,build_now,181,20,30,45,0,score 251; story depth 20; scene depth 30; locale overlays 45; no flagged sparse units
41,tech_finance_burnout,somatic_healing,251,build_now,181,20,30,46,0,score 251; story depth 20; scene depth 30; locale overlays 46; no flagged sparse units
42,working_parents,burnout,251,build_now,181,20,30,33,0,score 251; story depth 20; scene depth 30; locale overlays 33; no flagged sparse units
43,working_parents,financial_anxiety,251,build_now,181,20,30,32,0,score 251; story depth 20; scene depth 30; locale overlays 32; no flagged sparse units
44,working_parents,imposter_syndrome,251,build_now,181,20,30,33,0,score 251; story depth 20; scene depth 30; locale overlays 33; no flagged sparse units
45,working_parents,social_anxiety,251,build_now,181,20,30,33,0,score 251; story depth 20; scene depth 30; locale overlays 33; no flagged sparse units
46,working_parents,somatic_healing,251,build_now,181,20,30,32,0,score 251; story depth 20; scene depth 30; locale overlays 32; no flagged sparse units
47,entrepreneurs,anxiety,250,build_now,181,20,29,22,0,score 250; story depth 20; scene depth 29; locale overlays 22; no flagged sparse units
48,educators,depression,242,build_soon,172,20,30,42,0,score 242; story depth 20; scene depth 30; locale overlays 42; no flagged sparse units
49,entrepreneurs,boundaries,240,build_soon,179,20,29,22,1,score 240; story depth 20; scene depth 29; locale overlays 22
50,nyc_executives,depression,240,build_soon,172,20,30,18,0,score 240; story depth 20; scene depth 30; no flagged sparse units
51,educators,boundaries,239,build_soon,169,20,30,42,0,score 239; story depth 20; scene depth 30; locale overlays 42; no flagged sparse units
52,educators,compassion_fatigue,239,build_soon,169,20,30,42,0,score 239; story depth 20; scene depth 30; locale overlays 42; no flagged sparse units
53,educators,courage,239,build_soon,169,20,30,42,0,score 239; story depth 20; scene depth 30; locale overlays 42; no flagged sparse units
54,educators,financial_stress,239,build_soon,169,20,30,42,0,score 239; story depth 20; scene depth 30; locale overlays 42; no flagged sparse units
55,nyc_executives,boundaries,237,build_soon,169,20,30,18,0,score 237; story depth 20; scene depth 30; no flagged sparse units
56,nyc_executives,compassion_fatigue,237,build_soon,169,20,30,18,0,score 237; story depth 20; scene depth 30; no flagged sparse units
57,nyc_executives,courage,237,build_soon,169,20,30,18,0,score 237; story depth 20; scene depth 30; no flagged sparse units
58,nyc_executives,financial_stress,237,build_soon,169,20,30,18,0,score 237; story depth 20; scene depth 30; no flagged sparse units
59,educators,grief,236,build_soon,166,20,30,42,0,score 236; story depth 20; scene depth 30; locale overlays 42; no flagged sparse units
60,educators,self_worth,236,build_soon,166,20,30,42,0,score 236; story depth 20; scene depth 30; locale overlays 42; no flagged sparse units
61,nyc_executives,self_worth,236,build_soon,166,20,30,38,0,score 236; story depth 20; scene depth 30; locale overlays 38; no flagged sparse units
62,nyc_executives,grief,234,build_soon,166,20,30,18,0,score 234; story depth 20; scene depth 30; no flagged sparse units
63,corporate_managers,anxiety,217,build_soon,173,20,4,27,0,score 217; story depth 20; locale overlays 27; no flagged sparse units
64,corporate_managers,boundaries,217,build_soon,173,20,4,27,0,score 217; story depth 20; locale overlays 27; no flagged sparse units
65,corporate_managers,compassion_fatigue,217,build_soon,173,20,4,22,0,score 217; story depth 20; locale overlays 22; no flagged sparse units
66,corporate_managers,courage,217,build_soon,173,20,4,22,0,score 217; story depth 20; locale overlays 22; no flagged sparse units
67,tech_finance_burnout,anxiety,217,build_soon,173,20,4,46,0,score 217; story depth 20; locale overlays 46; no flagged sparse units
68,tech_finance_burnout,boundaries,217,build_soon,173,20,4,45,0,score 217; story depth 20; locale overlays 45; no flagged sparse units
69,working_parents,compassion_fatigue,217,build_soon,173,20,4,32,0,score 217; story depth 20; locale overlays 32; no flagged sparse units
70,working_parents,courage,217,build_soon,173,20,4,32,0,score 217; story depth 20; locale overlays 32; no flagged sparse units
71,working_parents,depression,217,build_soon,173,20,4,32,0,score 217; story depth 20; locale overlays 32; no flagged sparse units
72,working_parents,financial_stress,217,build_soon,173,20,4,32,0,score 217; story depth 20; locale overlays 32; no flagged sparse units
73,entrepreneurs,burnout,211,build_soon,173,20,30,22,4,score 211; story depth 20; scene depth 30; locale overlays 22
74,entrepreneurs,financial_anxiety,211,build_soon,173,20,30,22,4,score 211; story depth 20; scene depth 30; locale overlays 22
75,entrepreneurs,imposter_syndrome,211,build_soon,173,20,30,22,4,score 211; story depth 20; scene depth 30; locale overlays 22
76,entrepreneurs,overthinking,211,build_soon,173,20,30,22,4,score 211; story depth 20; scene depth 30; locale overlays 22
77,entrepreneurs,sleep_anxiety,211,build_soon,173,20,30,22,4,score 211; story depth 20; scene depth 30; locale overlays 22
78,entrepreneurs,social_anxiety,211,build_soon,173,20,30,22,4,score 211; story depth 20; scene depth 30; locale overlays 22
79,entrepreneurs,somatic_healing,211,build_soon,173,20,30,22,4,score 211; story depth 20; scene depth 30; locale overlays 22
80,first_responders,burnout,211,build_soon,173,20,30,22,4,score 211; story depth 20; scene depth 30; locale overlays 22
